% Silver dielectric function from Johnson and Christy
%  Energy (eV)  n   k
0.64	0.24	14.08
0.77	0.15	11.85
0.89	0.13	10.10
1.02	0.09	8.828
1.14	0.04	7.795
1.26	0.04	6.992
1.39	0.04	6.312
1.51	0.04	5.727
1.64	0.03	5.242
1.76	0.04	4.838
1.88	0.05	4.483
2.01	0.06	4.152
2.13	0.05	3.858
2.26	0.06	3.586
2.38	0.05	3.324
2.50	0.05	3.093
2.63	0.05	2.869
2.75	0.04	2.657
2.88	0.04	2.462
3.00	0.05	2.275
3.12	0.05	2.070
3.25	0.05	1.864
3.37	0.07	1.657
3.50	0.10	1.419
3.62	0.14	1.142
3.74	0.17	0.829
3.87	0.81	0.392
3.99	1.13	0.616
4.12 	1.34 	0.964 
4.24 	1.39 	1.161 
4.36 	1.41 	1.264 
4.49 	1.41 	1.331 
4.61 	1.38 	1.372 
4.74 	1.35 	1.387 
4.86 	1.33 	1.393 
4.98 	1.31 	1.389 
5.11 	1.30 	1.378 
5.23 	1.28 	1.367 
5.36 	1.28 	1.357 
5.48 	1.26 	1.344 
5.60 	1.25 	1.342 
5.73 	1.22 	1.336 
5.85 	1.20 	1.325 
5.98 	1.18 	1.312 
6.10 	1.15 	1.296 
6.22 	1.14 	1.277 
6.35 	1.12 	1.255 
6.47 	1.10 	1.232 
6.60 	1.07 	1.212 
